Accession,Character,Value
02JH000014,Growth habit,W
02JH000014,Species,aestivum
02S0066-13,Hardness,H
02S0066-13,Growth habit,S
02S0066-13,Color,R
02S0066-13,Species,aestivum
02S0091-9,Hardness,H
02S0091-9,Growth habit,S
02S0091-9,Color,R
02S0091-9,Species,aestivum
02S0170-3,Growth habit,S
02S0170-3,Species,aestivum
02S0178-1,Hardness,H
02S0178-1,Growth habit,S
02S0178-1,Color,R
02S0178-1,Species,aestivum
02S0208-22,Hardness,H
02S0208-22,Growth habit,S
02S0208-22,Color,R
02S0208-22,Species,aestivum
031086-44-4-2,Growth habit,W
031086-44-4-2,Species,aestivum
03112A1-7-14,Hardness,S
03112A1-7-14,Growth habit,W
03112A1-7-14,Species,aestivum
03112A1-7-3,Hardness,S
03112A1-7-3,Growth habit,W
03112A1-7-3,Species,aestivum
031238-LE33,Hardness,S
031238-LE33,Growth habit,W
031238-LE33,Species,aestivum
031257-10E34,Hardness,S
031257-10E34,Growth habit,W
031257-10E34,Species,aestivum
03207A1-7,Hardness,S
03207A1-7,Growth habit,W
03207A1-7,Species,aestivum
03207A1-7-3-1,Hardness,S
03207A1-7-3-1,Growth habit,W
03207A1-7-3-1,Color,R
03207A1-7-3-1,Awned,N
03207A1-7-3-1,Chaff,bright
03207A1-7-3-1,Species,aestivum
03207A1-7-3-1-4,Hardness,S
03207A1-7-3-1-4,Growth habit,W
03207A1-7-3-1-4,Species,aestivum
03207A1-7-5,Hardness,S
03207A1-7-5,Growth habit,W
03207A1-7-5,Species,aestivum
03528A1-10,Hardness,S
03528A1-10,Growth habit,W
03528A1-10,Species,aestivum
03545A1-30-1,Hardness,S
03545A1-30-1,Growth habit,W
03545A1-30-1,Species,aestivum
03549A1-18-25,Hardness,S
03549A1-18-25,Growth habit,W
03549A1-18-25,Color,R
03549A1-18-25,Awned,A
03549A1-18-25,Chaff,bright
03549A1-18-25,Species,aestivum
03549A1-34-2,Hardness,S
03549A1-34-2,Growth habit,W
03549A1-34-2,Species,aestivum
03615A1-4,Hardness,S
03615A1-4,Growth habit,W
03615A1-4,Species,aestivum
03615A1-4-4,Hardness,S
03615A1-4-4,Growth habit,W
03615A1-4-4,Species,aestivum
03615A1-5-7,Hardness,S
03615A1-5-7,Growth habit,W
03615A1-5-7,Species,aestivum
03630A1-18,Hardness,S
03630A1-18,Growth habit,W
03630A1-18,Species,aestivum
03633A1--5,Hardness,S
03633A1--5,Growth habit,W
03633A1--5,Species,aestivum
03633A1-69-2-5,Hardness,S
03633A1-69-2-5,Growth habit,W
03633A1-69-2-5,Color,R
03633A1-69-2-5,Awned,N
03633A1-69-2-5,Chaff,bright
03633A1-69-2-5,Species,aestivum
03647A1-1,Hardness,S
03647A1-1,Growth habit,W
03647A1-1,Species,aestivum
03707A1--7,Hardness,S
03707A1--7,Growth habit,W
03707A1--7,Species,aestivum
03707A1-11-30-7,Hardness,S
03707A1-11-30-7,Growth habit,W
03707A1-11-30-7,Species,aestivum
03M1539#019,Hardness,S
03M1539#019,Growth habit,W
03M1539#019,Species,aestivum
03M1539#031,Hardness,S
03M1539#031,Growth habit,W
03M1539#031,Species,aestivum
03M1539_019,Hardness,S
03M1539_019,Growth habit,W
03M1539_019,Color,R
03M1539_019,Species,aestivum
03M1539_031,Hardness,S
03M1539_031,Growth habit,W
03M1539_031,Color,R
03M1539_031,Species,aestivum
03M1599#0007,Hardness,S
03M1599#0007,Growth habit,W
03M1599#0007,Species,aestivum
03S0119-12,Hardness,H
03S0119-12,Growth habit,S
03S0119-12,Color,R
03S0119-12,Species,aestivum
03S0211-3,Hardness,H
03S0211-3,Growth habit,S
03S0211-3,Color,R
03S0211-3,Species,aestivum
03S0253-7,Growth habit,S
03S0253-7,Species,aestivum
03S0352-22,Hardness,H
03S0352-22,Growth habit,S
03S0352-22,Color,R
03S0352-22,Species,aestivum
04281A1-4-5,Hardness,S
04281A1-4-5,Growth habit,W
04281A1-4-5,Species,aestivum
04287A1-10,Hardness,S
04287A1-10,Growth habit,W
04287A1-10,Species,aestivum
04287A1-16,Hardness,S
04287A1-16,Growth habit,W
04287A1-16,Species,aestivum
04434-13E52,Species,aestivum
04511A1-3,Hardness,S
04511A1-3,Growth habit,W
04511A1-3,Species,aestivum
0451A1-7-7,Hardness,S
0451A1-7-7,Growth habit,W
0451A1-7-7,Species,aestivum
04606A1--7,Hardness,S
04606A1--7,Growth habit,W
04606A1--7,Species,aestivum
04606RA1-1-7-1,Hardness,S
04606RA1-1-7-1,Growth habit,W
04606RA1-1-7-1,Color,R
04606RA1-1-7-1,Awned,N
04606RA1-1-7-1,Chaff,bright
04606RA1-1-7-1,Species,aestivum
04606RA1-1-7-1-6,Hardness,S
04606RA1-1-7-1-6,Growth habit,W
04606RA1-1-7-1-6,Color,R
04606RA1-1-7-1-6,Awned,N
04606RA1-1-7-1-6,Chaff,bright
04606RA1-1-7-1-6,Species,aestivum
04606RA1-1-7-1-6-3,Hardness,S
04606RA1-1-7-1-6-3,Growth habit,W
04606RA1-1-7-1-6-3,Color,R
04606RA1-1-7-1-6-3,Species,aestivum
04606RA1-1-8-19,Hardness,S
04606RA1-1-8-19,Growth habit,W
04606RA1-1-8-19,Species,aestivum
04606RA1-6,Hardness,S
04606RA1-6,Growth habit,W
04606RA1-6,Species,aestivum
04606RA1-7-1,Hardness,S
04606RA1-7-1,Growth habit,W
04606RA1-7-1,Color,R
04606RA1-7-1,Species,aestivum
04606RA1-7-1_NOGERM,Species,aestivum
04620A1-1-7-4,Hardness,S
04620A1-1-7-4,Growth habit,W
04620A1-1-7-4,Color,R
04620A1-1-7-4,Awned,N
04620A1-1-7-4,Chaff,bright
04620A1-1-7-4,Species,aestivum
04620A1-1-7-4-10,Hardness,S
04620A1-1-7-4-10,Growth habit,W
04620A1-1-7-4-10,Color,R
04620A1-1-7-4-10,Chaff,bright
04620A1-1-7-4-10,Height,short
04620A1-1-7-4-10,Species,aestivum
04620A1-1-7-4-13,Hardness,S
04620A1-1-7-4-13,Growth habit,W
04620A1-1-7-4-13,Species,aestivum
04620A1-1-7-4-17,Hardness,S
04620A1-1-7-4-17,Growth habit,W
04620A1-1-7-4-17,Color,R
04620A1-1-7-4-17,Height,short
04620A1-1-7-4-17,Species,aestivum
04620A1-1-7-4-2,Hardness,S
04620A1-1-7-4-2,Growth habit,W
04620A1-1-7-4-2,Species,aestivum
04620A1-1-7-4-26,Hardness,S
04620A1-1-7-4-26,Growth habit,W
04620A1-1-7-4-26,Species,aestivum
04620A1-1-7-4-35,Hardness,S
04620A1-1-7-4-35,Growth habit,W
04620A1-1-7-4-35,Species,aestivum
04620A1-1-7-4-4,Hardness,S
04620A1-1-7-4-4,Growth habit,W
04620A1-1-7-4-4,Species,aestivum
04620A1-1-7-4-7,Hardness,S
04620A1-1-7-4-7,Growth habit,W
04620A1-1-7-4-7,Species,aestivum
04702A1-18,Hardness,S
04702A1-18,Growth habit,W
04702A1-18,Color,R
04702A1-18,Awned,N
04702A1-18,Chaff,bright
04702A1-18,Species,aestivum
04704A1--1,Hardness,S
04704A1--1,Growth habit,W
04704A1--1,Species,aestivum
04704A1-2-1-1,Hardness,S
04704A1-2-1-1,Growth habit,W
04704A1-2-1-1,Species,aestivum
04704A1-2-1-1-1-4,Hardness,S
04704A1-2-1-1-1-4,Growth habit,W
04704A1-2-1-1-1-4,Species,aestivum
04704A1-2-1-29-2-4,Hardness,S
04704A1-2-1-29-2-4,Growth habit,W
04704A1-2-1-29-2-4,Species,aestivum
04719A1-16-1-1-7,Hardness,S
04719A1-16-1-1-7,Growth habit,W
04719A1-16-1-1-7,Color,R
04719A1-16-1-1-7,Awned,N
04719A1-16-1-1-7,Chaff,bright
04719A1-16-1-1-7,Species,aestivum
04S0196-1,Hardness,H
04S0196-1,Growth habit,S
04S0196-1,Color,R
04S0196-1,Species,aestivum
04S0198-16,Species,aestivum
04S0202-1,Hardness,H
04S0202-1,Growth habit,S
04S0202-1,Color,R
04S0202-1,Species,aestivum
04S0209-4,Hardness,H
04S0209-4,Growth habit,S
04S0209-4,Color,R
04S0209-4,Species,aestivum
04S0258-12,Species,aestivum
04S0282-7,Species,aestivum
04S0301-3,Hardness,H
04S0301-3,Growth habit,S
04S0301-3,Color,R
04S0301-3,Species,aestivum
04V51-A0498,Hardness,H
04V51-A0498,Growth habit,S
04V51-A0498,Color,R
04V51-A0498,Species,aestivum
051033-13LE14,Species,aestivum
051102-13LE43,Species,aestivum
051335-13E13,Species,aestivum
051335-13LE19,Species,aestivum
051336-B-B-1,Growth habit,W
051336-B-B-1,Species,aestivum
0513A1-1-3,Hardness,S
0513A1-1-3,Growth habit,W
0513A1-1-3,Color,R
0513A1-1-3,Awned,N
0513A1-1-3,Chaff,bright
0513A1-1-3,Species,aestivum
0513A1-2-3,Hardness,S
0513A1-2-3,Growth habit,W
0513A1-2-3,Species,aestivum
05215A1-1-46,Hardness,S
05215A1-1-46,Growth habit,W
05215A1-1-46,Species,aestivum
05218A1-6-31,Hardness,S
05218A1-6-31,Growth habit,W
05218A1-6-31,Species,aestivum
05219A1-13-16,Hardness,S
05219A1-13-16,Growth habit,W
05219A1-13-16,Species,aestivum
05219A1-8-21-2-4,Hardness,S
05219A1-8-21-2-4,Growth habit,W
05219A1-8-21-2-4,Color,R
05219A1-8-21-2-4,Awned,N
05219A1-8-21-2-4,Chaff,bright
05219A1-8-21-2-4,Species,aestivum
05219A1-9-10,Hardness,S
05219A1-9-10,Growth habit,W
05219A1-9-10,Species,aestivum
05219A1-9-2,Hardness,S
05219A1-9-2,Growth habit,W
05219A1-9-2,Species,aestivum
05222A1-1-2-1,Hardness,S
05222A1-1-2-1,Growth habit,W
05222A1-1-2-1,Color,R
05222A1-1-2-1,Awned,N
05222A1-1-2-1,Chaff,bright
05222A1-1-2-1,Species,aestivum
05222A1-1-2-7,Hardness,S
05222A1-1-2-7,Growth habit,W
05222A1-1-2-7,Species,aestivum
05222A1-7,Hardness,S
05222A1-7,Growth habit,W
05222A1-7,Species,aestivum
05247A1--3,Hardness,S
05247A1--3,Growth habit,W
05247A1--3,Species,aestivum
05247A1-1,Hardness,S
05247A1-1,Growth habit,W
05247A1-1,Species,aestivum
05247A1-7-3,Hardness,S
05247A1-7-3,Growth habit,W
05247A1-7-3,Species,aestivum
05247A1-7-3-108-2,Hardness,S
05247A1-7-3-108-2,Species,aestivum
05247A1-7-3-114,Hardness,S
05247A1-7-3-114,Species,aestivum
05247A1-7-3-120,Hardness,S
05247A1-7-3-120,Growth habit,W
05247A1-7-3-120,Color,R
05247A1-7-3-120,Awned,N
05247A1-7-3-120,Chaff,bright
05247A1-7-3-120,Height,short
05247A1-7-3-120,Species,aestivum
05247A1-7-3-121,Hardness,S
05247A1-7-3-121,Growth habit,W
05247A1-7-3-121,Species,aestivum
05247A1-7-3-27,Hardness,S
05247A1-7-3-27,Growth habit,W
05247A1-7-3-27,Color,R
05247A1-7-3-27,Awned,N
05247A1-7-3-27,Chaff,bright
05247A1-7-3-27,Species,aestivum
05247A1-7-3-29,Hardness,S
05247A1-7-3-29,Growth habit,W
05247A1-7-3-29,Color,R
05247A1-7-3-29,Chaff,bright
05247A1-7-3-29,Height,short
05247A1-7-3-29,Species,aestivum
05247A1-7-3-54,Hardness,S
05247A1-7-3-54,Growth habit,W
05247A1-7-3-54,Color,R
05247A1-7-3-54,Species,aestivum
05247A1-7-7-3-1,Hardness,S
05247A1-7-7-3-1,Growth habit,W
05247A1-7-7-3-1,Color,R
05247A1-7-7-3-1,Awned,N
05247A1-7-7-3-1,Chaff,bright
05247A1-7-7-3-1,Height,short
05247A1-7-7-3-1,Species,aestivum
05251A1--5,Hardness,S
05251A1--5,Growth habit,W
05251A1--5,Species,aestivum
05251A1-1-136-9-5,Hardness,S
05251A1-1-136-9-5,Growth habit,W
05251A1-1-136-9-5,Color,R
05251A1-1-136-9-5,Awned,A
05251A1-1-136-9-5,Chaff,bright
05251A1-1-136-9-5,Species,aestivum
05251A1-1-136-9-7-4,Hardness,S
05251A1-1-136-9-7-4,Growth habit,W
05251A1-1-136-9-7-4,Species,aestivum
05251A1-1-136-9-9,Hardness,S
05251A1-1-136-9-9,Growth habit,W
05251A1-1-136-9-9,Species,aestivum
05251A1-1-77,Hardness,S
05251A1-1-77,Growth habit,W
05251A1-1-77,Species,aestivum
05251A1-1-77-12,Hardness,S
05251A1-1-77-12,Growth habit,W
05251A1-1-77-12,Species,aestivum
05251A1-1-77-16,Hardness,S
05251A1-1-77-16,Growth habit,W
05251A1-1-77-16,Species,aestivum
05251A1-1-77-2,Hardness,S
05251A1-1-77-2,Growth habit,W
05251A1-1-77-2,Species,aestivum
05251A1-1-77-32,Hardness,S
05251A1-1-77-32,Growth habit,W
05251A1-1-77-32,Species,aestivum
05251A1-1-77-39,Hardness,S
05251A1-1-77-39,Growth habit,W
05251A1-1-77-39,Species,aestivum
05251A1-1-77-4,Hardness,S
05251A1-1-77-4,Growth habit,W
05251A1-1-77-4,Species,aestivum
05251A1-1-77-68,Hardness,S
05251A1-1-77-68,Growth habit,W
05251A1-1-77-68,Species,aestivum
05251A1-1-77-74,Hardness,S
05251A1-1-77-74,Growth habit,W
05251A1-1-77-74,Species,aestivum
05251A1-1-77-8,Hardness,S
05251A1-1-77-8,Growth habit,W
05251A1-1-77-8,Species,aestivum
05251A1-1-77-8-2,Hardness,S
05251A1-1-77-8-2,Growth habit,W
05251A1-1-77-8-2,Height,short
05251A1-1-77-8-2,Species,aestivum
05259A1-4-9,Hardness,S
05259A1-4-9,Growth habit,W
05259A1-4-9,Species,aestivum
05262A1-3-5,Hardness,S
05262A1-3-5,Growth habit,W
05262A1-3-5,Species,aestivum
05264A1--2,Hardness,S
05264A1--2,Growth habit,W
05264A1--2,Species,aestivum
05264A1-1-3-2,Hardness,S
05264A1-1-3-2,Growth habit,W
05264A1-1-3-2,Color,R
05264A1-1-3-2,Awned,N
05264A1-1-3-2,Chaff,bright
05264A1-1-3-2,Species,aestivum
05264A1-1-3-2-3,Hardness,S
05264A1-1-3-2-3,Growth habit,W
05264A1-1-3-2-3,Species,aestivum
05264A1-1-3-33,Hardness,S
05264A1-1-3-33,Growth habit,W
05264A1-1-3-33,Species,aestivum
05269A1--1,Hardness,S
05269A1--1,Growth habit,W
05269A1--1,Species,aestivum
05269A1-4-9-1-3,Hardness,S
05269A1-4-9-1-3,Growth habit,W
05269A1-4-9-1-3,Species,aestivum
05269A1-4-9-8,Hardness,S
05269A1-4-9-8,Growth habit,W
05269A1-4-9-8,Color,R
05269A1-4-9-8,Species,aestivum
05269A1-4-9-83,Hardness,S
05269A1-4-9-83,Growth habit,W
05269A1-4-9-83,Color,R
05269A1-4-9-83,Species,aestivum
0527A1-7-7-3-1,Hardness,S
0527A1-7-7-3-1,Growth habit,W
0527A1-7-7-3-1,Color,R
0527A1-7-7-3-1,Chaff,bright
0527A1-7-7-3-1,Height,short
0527A1-7-7-3-1,Species,aestivum
0527A1-9-10-1-15,Hardness,S
0527A1-9-10-1-15,Growth habit,W
0527A1-9-10-1-15,Species,aestivum
0527A1-9-10-8-4,Hardness,S
0527A1-9-10-8-4,Growth habit,W
0527A1-9-10-8-4,Species,aestivum
0527A1-9-14-4-3-1-1,Hardness,S
0527A1-9-14-4-3-1-1,Species,aestivum
0527A1-9-14-4-3-3,Hardness,S
0527A1-9-14-4-3-3,Growth habit,W
0527A1-9-14-4-3-3,Color,R
0527A1-9-14-4-3-3,Chaff,bright
0527A1-9-14-4-3-3,Height,short
0527A1-9-14-4-3-3,Species,aestivum
0527A1-9-15,Hardness,S
0527A1-9-15,Growth habit,W
0527A1-9-15,Species,aestivum
0527A1-9-15-178,Hardness,S
0527A1-9-15-178,Growth habit,W
0527A1-9-15-178,Height,short
0527A1-9-15-178,Species,aestivum
0527A1-9-15-181,Hardness,S
0527A1-9-15-181,Growth habit,W
0527A1-9-15-181,Species,aestivum
0527A1-9-9-2,Hardness,S
0527A1-9-9-2,Growth habit,W
0527A1-9-9-2,Species,aestivum
0527A1-9-9-2-11,Hardness,S
0527A1-9-9-2-11,Growth habit,W
0527A1-9-9-2-11,Species,aestivum
0527A1-9-9-2-2,Hardness,S
0527A1-9-9-2-2,Growth habit,W
0527A1-9-9-2-2,Species,aestivum
0527A1-9-9-2-31,Hardness,S
0527A1-9-9-2-31,Growth habit,W
0527A1-9-9-2-31,Species,aestivum
0527A1-9-9-2-4,Hardness,S
0527A1-9-9-2-4,Growth habit,W
0527A1-9-9-2-4,Species,aestivum
0527A1-9-9-2-6,Hardness,S
0527A1-9-9-2-6,Growth habit,W
0527A1-9-9-2-6,Species,aestivum
0527A1-9-9-2-7,Hardness,S
0527A1-9-9-2-7,Growth habit,W
0527A1-9-9-2-7,Species,aestivum
0527A1-9-9-3,Hardness,S
0527A1-9-9-3,Growth habit,W
0527A1-9-9-3,Species,aestivum
0527A1-9-9-4,Hardness,S
0527A1-9-9-4,Growth habit,W
0527A1-9-9-4,Species,aestivum
05287A1-1-13,Hardness,S
05287A1-1-13,Growth habit,W
05287A1-1-13,Color,R
05287A1-1-13,Awned,N
05287A1-1-13,Chaff,bright
05287A1-1-13,Species,aestivum
05287A1-4-5,Hardness,S
05287A1-4-5,Growth habit,W
05287A1-4-5,Species,aestivum
05339A1-1-18,Hardness,S
05339A1-1-18,Growth habit,W
05339A1-1-18,Species,aestivum
05339A1-1-18-1,Hardness,S
05339A1-1-18-1,Growth habit,W
05339A1-1-18-1,Species,aestivum
0537A1-12,Hardness,S
0537A1-12,Growth habit,W
0537A1-12,Color,R
0537A1-12,Awned,A
0537A1-12,Chaff,bright
0537A1-12,Species,aestivum
0537A1-3-12,Hardness,S
0537A1-3-12,Growth habit,W
0537A1-3-12,Color,R
0537A1-3-12,Awned,A
0537A1-3-12,Chaff,bright
0537A1-3-12,Species,aestivum
0537A1-7-12,Hardness,S
0537A1-7-12,Growth habit,W
0537A1-7-12,Species,aestivum
0537A1-7-12-26,Hardness,S
0537A1-7-12-26,Growth habit,W
0537A1-7-12-26,Species,aestivum
0537A1-7-12-28,Hardness,S
0537A1-7-12-28,Growth habit,W
0537A1-7-12-28,Species,aestivum
0537A1-7-12-32,Hardness,S
0537A1-7-12-32,Growth habit,W
0537A1-7-12-32,Height,short
0537A1-7-12-32,Species,aestivum
0537A1-7-12-4,Hardness,S
0537A1-7-12-4,Growth habit,W
0537A1-7-12-4,Species,aestivum
0537A1-7-8,Hardness,S
0537A1-7-8,Growth habit,W
0537A1-7-8,Species,aestivum
0537A1-7-8-22,Hardness,S
0537A1-7-8-22,Growth habit,W
0537A1-7-8-22,Species,aestivum
0537A1-7-8-28,Hardness,S
0537A1-7-8-28,Growth habit,W
0537A1-7-8-28,Species,aestivum
0537A1-7-8-32,Hardness,S
0537A1-7-8-32,Growth habit,W
0537A1-7-8-32,Species,aestivum
0537A1-7-8-38,Hardness,S
0537A1-7-8-38,Growth habit,W
0537A1-7-8-38,Species,aestivum
0537A1-7-8-4,Hardness,S
0537A1-7-8-4,Growth habit,W
0537A1-7-8-4,Species,aestivum
053A1-2-5-3,Hardness,S
053A1-2-5-3,Growth habit,W
053A1-2-5-3,Species,aestivum
053A1-2-5-3-28,Hardness,S
053A1-2-5-3-28,Growth habit,W
053A1-2-5-3-28,Species,aestivum
053A1-2-5-3-3,Hardness,S
053A1-2-5-3-3,Growth habit,W
053A1-2-5-3-3,Species,aestivum
053A1-2-5-3-35,Hardness,S
053A1-2-5-3-35,Growth habit,W
053A1-2-5-3-35,Species,aestivum
053A1-2-5-3-4,Hardness,S
053A1-2-5-3-4,Growth habit,W
053A1-2-5-3-4,Species,aestivum
053A1-2-5-3-5,Hardness,S
053A1-2-5-3-5,Growth habit,W
053A1-2-5-3-5,Species,aestivum
053A1-2-5-3-5-3,Hardness,S
053A1-2-5-3-5-3,Growth habit,W
053A1-2-5-3-5-3,Color,R
053A1-2-5-3-5-3,Height,short
053A1-2-5-3-5-3,Species,aestivum
053A1-2-5-3-55,Hardness,S
053A1-2-5-3-55,Growth habit,W
053A1-2-5-3-55,Species,aestivum
053A1-2-5-3-77,Hardness,S
053A1-2-5-3-77,Growth habit,W
053A1-2-5-3-77,Species,aestivum
053A1-2-5-3-78,Hardness,S
053A1-2-5-3-78,Growth habit,W
053A1-2-5-3-78,Species,aestivum
053A1-6-7,Hardness,S
053A1-6-7,Growth habit,W
053A1-6-7,Species,aestivum
0558A1-5-5,Hardness,S
0558A1-5-5,Growth habit,W
0558A1-5-5,Species,aestivum
0566A1-3-1-1,Hardness,S
0566A1-3-1-1,Growth habit,W
0566A1-3-1-1,Species,aestivum
0566A1-3-1-1-63,Hardness,S
0566A1-3-1-1-63,Growth habit,W
0566A1-3-1-1-63,Color,R
0566A1-3-1-1-63,Chaff,bright
0566A1-3-1-1-63,Height,short
0566A1-3-1-1-63,Species,aestivum
0566A1-3-1-101,Hardness,S
0566A1-3-1-101,Growth habit,W
0566A1-3-1-101,Species,aestivum
0566A1-3-1-108,Hardness,S
0566A1-3-1-108,Growth habit,W
0566A1-3-1-108,Species,aestivum
0566A1-3-1-112,Hardness,S
0566A1-3-1-112,Growth habit,W
0566A1-3-1-112,Species,aestivum
0566A1-3-1-126,Hardness,S
0566A1-3-1-126,Growth habit,W
0566A1-3-1-126,Species,aestivum
0566A1-3-1-128,Hardness,S
0566A1-3-1-128,Growth habit,W
0566A1-3-1-128,Species,aestivum
0566A1-3-1-146,Hardness,S
0566A1-3-1-146,Growth habit,W
0566A1-3-1-146,Species,aestivum
